Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
苗栗兆品酒店,191,"3,125",52.78%,"1,943",6073333,3554981,9973782,39,34,25,0,98
Miaoli Maison De Chine,,,,,,,,,,,,
福容大飯店 淡水漁人碼頭,198,"1,983",32.31%,"4,569",9061171,14799275,25428094,44,95,31,10,180
Fullon Hotel Tamsui Fishermen’s Wharf,,,,,,,,,,,,
大板根渡假酒店,95,"2,247",76.30%,"4,528",10175408,12451743,35650008,19,58,6,115,198
The Great Roots Resort Hotel,,,,,,,,,,,,
板橋凱撒大飯店,400,"3,313",26.72%,"4,218",13975244,47334499,61444720,84,162,36,28,310
Caesar Park Hotel Banqiao,,,,,,,,,,,,
台南大飯店,152,"1,523",32.32%,"2,083",3172003,11369619,16023868,37,102,37,0,176
Hotel Tainan,,,,,,,,,,,,
大億麗緻酒店,315,"5,384",55.14%,"3,162",17022019,31925461,54446423,87,169,63,0,319
Tayih Landis Tainan,,,,,,,,,,,,
台糖長榮酒店(台南),197,"3,811",62.40%,"2,730",10403789,22166038,34061637,62,92,25,15,194
Evergreen Plaza Hotel(Tainan),,,,,,,,,,,,
香格里拉台南遠東國際大飯店,333,"5,902",57.17%,"3,504",20678390,24543258,51032998,110,151,77,21,359
"Shangri-La’s Far Eastern Plaza Hotel,Tainan",,,,,,,,,,,,
台南大員皇冠假日酒店,231,"1,221",17.05%,"3,110",3797298,14273949,19526070,49,115,70,10,244
CROWNE PLAZA TAINAN,,,,,,,,,,,,
義大皇家酒店,656,"9,491",46.67%,"2,980",28283180,22572259,54596056,99,185,105,103,492
E-DA Royal Hotel,,,,,,,,,,,,
蘭城晶英酒店,193,"2,921",48.82%,"8,454",24693081,23584407,53774557,63,190,33,40,326
Silks Place Yilan,,,,,,,,,,,,
長榮鳳凰酒店(礁溪),231,"3,762",52.53%,"6,967",26211203,18617258,52310553,96,106,60,54,316
Evergreen Resort Hotel(Jiaosi),,,,,,,,,,,,
綠舞國際觀光飯店,104,487,15.11%,"5,451",2654756,3060640,5933744,29,49,42,24,144
Dancewoods Hotels and Resorts,,,,,,,,,,,,
麒麟大飯店,167,935,18.06%,"4,051",3787724,1631496,5754823,35,29,13,14,91
Kilin Hotel,,,,,,,,,,,,
娜路彎大酒店,276,"3,225",37.69%,"2,989",9639525,11784568,26178142,95,45,50,18,208
Formosan Naruwan Hotel & Resort Taitung,,,,,,,,,,,,
澎湖福朋喜來登酒店,331,"1,108",10.80%,"2,091",2316341,6862658,10224344,58,67,62,9,196
Four Point by Sheraton Penghu,,,,,,,,,,,,
耐斯王子大飯店,245,"3,093",40.72%,"2,189",6770622,15673407,23677919,64,114,13,31,222
Nice Prince Hotel,,,,,,,,,,,,
和昇帝景飯店,60,"1,028",55.27%,"2,061",2118592,600,2120046,6,3,3,6,18
lake.sunriseinn,,,,,,,,,,,,
福朋喜來登飯店,126,"2,464",63.08%,"2,665",6565638,4709073,12597340,32,53,19,9,113
"Four Points By Sheraton Taipei, Zhonghe",,,,,,,,,,,,
碧特弗大飯店,54,525,31.36%,"2,365",1241380,107720,1349100,13,11,4,4,32
Beautiful Hotel,,,,,,,,,,,,
美麗春天大飯店,34,331,31.40%,"2,388",790338,142791,933129,10,7,4,3,24
Beautiful Hotel,,,,,,,,,,,,
遠百企業觀光旅館,40,73,5.89%,"1,003",73200,0,73200,10,3,10,0,23
Far Eastem Geant Tourist Hotel,,,,,,,,,,,,
幼獅大飯店,51,198,12.52%,"1,566",310000,0,331560,3,0,3,3,9
Lion Hotel,,,,,,,,,,,,
山泉大飯店,167,"2,183",42.17%,"1,694",3697758,351338,4262206,36,14,6,0,56
Sun Spring Resort,,,,,,,,,,,,
悅川酒店,103,"1,249",39.12%,"3,794",4738839,3655800,8594005,29,36,24,0,89
The Walden,,,,,,,,,,,,
台東桂田喜來登,290,"1,871",20.81%,"3,306",6186393,9058715,16111150,66,89,36,15,206
QUEENAPLAZA HOTEL TAITUNG,,,,,,,,,,,,
寶華大飯店,78,60,2.48%,"1,098",65906,0,67906,13,0,3,0,16
Bowa Hotel,,,,,,,,,,,,
長榮桂冠酒店(基隆),140,"2,424",55.85%,"2,399",5814330,4619810,13091725,30,24,16,5,75
Evergreen Laurel Hotel (Keelung),,,,,,,,,,,,
鈺通大飯店,120,596,16.02%,"1,813",1080710,7655985,8753297,26,39,7,5,77
Yuh-Tong Hotel,,,,,,,,,,,,
陸島酒店,47,593,40.70%,"1,258",745702,92880,843612,12,3,2,0,17
LUDAO HOTEL,,,,,,,,,,,,
